Course Code,Course Name,Semester,Department,LTPSC,Credits,Instructor,Registered Students,Elective (Yes/No),Half Semester (Yes/No),Combined class,Pre /Post,Basket Code
DS301,Graphs and Social Networks,5,CSE,3-1-0-0-4,4,Utkarsh K,0,Yes,No,no,basket,A
CS366,Advanced Algorithms,5,CSE,3-1-0-0-4,4,Suvadip Hazra,0,Yes,No,no,basket,A
DS359,Full Stack Development,5,CSE,3-1-0-0-4,4,Manjunath K V,0,Yes,No,no,basket,B
EC355,Internet of Things,5,CSE,3-1-0-0-4,4,Prakash Pawar,0,Yes,No,no,basket,B
EC364,Semiconductor Devices,5,CSE,3-1-0-0-4,4,Pankaj Kumar,0,Yes,No,no,basket,B
CS352,Cryptography & Security,5,CSE,3-1-0-0-4,4,Rajendra Hegadi,0,Yes,No,no,basket,B
ASD352,User Interaction,5,CSE,3-1-0-0-4,4,Sandesh P,0,Yes,No,no,basket,B
EC365,AI in Biomedical Engineering,5,CSE,3-1-0-0-4,4,Sibasankar Padhy,0,Yes,No,no,basket,B
MA161,Statistics,1,DSAI,3-1-0-0-2,2,Ramesh Athe,0,No,Yes,no,Post,
DS161,Introduction to Dsai,1,DSAI,3-1-0-0-2,2,Abdul Wahid,0,No,Yes,no,Post,
MA162,Probability,1,DSAI,3-1-0-0-2,2,Chinmayananda,0,No,Yes,yes,Pre,
EC161,Digital Design,1,DSAI,3-0-2-0-2,2,Prakash Pawar,0,No,Yes,yes,Pre,
CS161,Problem Solving with python,1,DSAI,3-0-2-0-4,4,Animesh Roy,0,No,No,no,full,
HS123,Economics/IET,1,DSAI,3-0-0-0-3,3,Anushree Kini,0,yes,No,no,full,
PH151,Introduction to Physics,1,DSAI,2-0-0-0-2,2,Ravishankar,0,Yes,Yes,no,elective,A
DS151,Linux for Engineers,1,DSAI,2-0-0-0-2,2,Vivekraj,0,Yes,Yes,no,elective,A
CS101,Fundamentals of Computing,1,DSAI,2-0-0-0-2,2,Mallikarjun Kande,0,Yes,Yes,no,elective,A
HS157,Computational Thinking,1,DSAI,1-0-0-0-1,1,Chandrika Kamat,0,Yes,No,no,elective,A
HS102,Kannada Kali-Nali,1,DSAI,2-0-0-0-2,2,Anand B,0,Yes,Yes,no,elective,A
HS103,Leveraging IT for Better Life,1,DSAI,2-0-0-0-2,2,Rajesh N S,0,Yes,Yes,no,elective,A
DE101,Basics of Design,1,DSAI,2-0-0-0-2,2,Sandesh P,0,Yes,Yes,no,elective,A
HS156,Holistic Personality Development,1,DSAI,1-0-0-0-1,1,Rajesh N S,0,Yes,No,no,elective,A
CS151,Introduction to C Programming,1,DSAI,2-0-0-0-2,2,Girish Revadigar,0,Yes,Yes,no,elective,A
MA262,Multivariable Calculus,3,DSAI,3-1-0-0-2,2,Somen B,0,No,No,yes,pre,
MA261,Differential Equations,3,DSAI,3-1-0-0-2,2,Anand B,0,No,No,yes,post,
DA261,Statistical Programming,3,DSAI,1-0-2-0-2,2,Ramesh Athe,0,No,Yes,no,pre,
DA262,Data Handling,3,DSAI,2-0-2-0-3,3,Siddharth,0,No,No,no,full,
CS304,Artificial Intelligence,3,DSAI,3-1-0-0-4,4,Animesh Chaturvedi,0,No,No,no,full,
CS307,Machine Learning,3,DSAI,3-0-2-0-4,4,Utkarsh K,0,No,No,no,full,
HS105,Neuro-Linguistics,3,DSAI,1-0-0-0-1,1,Manjunath K V,0,Yes,No,no,elective,B
HS106,Leadership I,3,DSAI,1-0-0-0-1,1,Jagadeesha R B,0,Yes,No,no,elective,B
HS107,Sociology for India,3,DSAI,1-0-0-0-1,1,Anushree Kini,0,Yes,No,no,elective,B
HS108,Social Impact,3,DSAI,1-0-0-0-1,1,Rajesh Kumar,0,Yes,No,no,elective,B
HS109,Holistic Personality,3,DSAI,1-0-0-0-1,1,Rajesh N S,0,Yes,No,no,elective,B
EC251,Electronics Design,3,DSAI,2-0-0-0-2,2,Pankaj Kumar,0,Yes,Yes,no,elective,A
EC252,Introduction of Communication,3,DSAI,2-0-0-0-2,2,Rajesh Kumar,0,Yes,Yes,no,elective,A
CS253,Introduction to AI,3,DSAI,2-0-0-0-2,2,Sibasankar Padhy,0,Yes,Yes,no,elective,A
EC254,Electronic Systems,3,DSAI,2-0-0-0-2,2,Mallikarjun Kande,0,Yes,Yes,no,elective,A
CS152,Data Science with Python,3,DSAI,2-0-0-0-2,2,Abdul Wahid,0,Yes,Yes,no,elective,A
